Date,Price,Months,Seasons
2005-04-04,7.8,4,1
2005-05-06,6.67,5,1
2005-06-20,7.8,6,2
2005-07-15,8.019999999999998,7,2
2005-08-31,12.69,8,2
2005-09-22,14.84,9,3
2005-10-26,14.68,10,3
2005-11-17,11.92,11,3
2005-12-13,15.39,12,4
2006-01-03,9.9,1,4
2006-02-01,8.71,2,4
2006-03-24,7.429999999999999,3,1
2006-04-20,7.95,4,1
2006-05-05,6.8,5,1
2006-06-16,7.03,6,2
2006-07-31,8.04,7,2
2006-08-01,8.66,8,2
2006-09-06,5.7,9,3
2006-10-26,7.91,10,3
2006-11-30,8.32,11,3
2006-12-01,8.42,12,4
2007-01-31,7.759999999999998,1,4
2007-02-05,9.14,2,4
2007-03-06,7.55,3,1
2007-04-11,7.969999999999998,4,1
2007-05-18,7.87,5,1
2007-06-07,7.889999999999999,6,2
2007-07-11,6.66,7,2
2007-08-15,7.3,8,2
2007-09-25,6.54,9,3
2007-10-16,7.29,10,3
2007-11-26,7.53,11,3
2007-12-13,7.46,12,4
2008-01-14,8.449999999999998,1,4
2008-02-26,9.21,2,4
2008-03-31,9.86,3,1
2008-04-28,10.95,4,1
2008-05-27,11.85,5,1
2008-06-30,13.19,6,2
2008-07-02,13.31,7,2
2008-08-04,9.2,8,2
2008-09-18,8.259999999999998,9,3
2008-10-02,7.639999999999999,10,3
2008-11-10,7.07,11,3
2008-12-02,6.68,12,4
2009-01-06,6.1,1,4
2009-02-03,5.04,2,4
2009-03-03,4.43,3,1
2009-04-06,3.74,4,1
2009-05-13,4.42,5,1
2009-06-18,4.19,6,2
2009-07-23,3.66,7,2
2009-08-06,3.78,8,2
2009-09-25,3.61,9,3
2009-10-22,4.98,10,3
2009-11-04,4.49,11,3
2009-12-29,6.01,12,4
2010-01-07,7.509999999999998,1,4
2010-02-08,5.73,2,4
2010-03-01,4.83,3,1
2010-04-29,4.24,4,1
2010-06-18,5.17,6,2
2010-07-06,4.85,7,2
2010-08-02,4.94,8,2
2010-09-17,4.11,9,3
2010-10-01,3.67,10,3
2010-11-30,4.16,11,3
2010-12-13,4.55,12,4
2011-01-21,4.72,1,4
2011-02-03,4.69,2,4
2011-03-28,4.35,3,1
2011-04-29,4.51,4,1
2011-05-31,4.63,5,1
2011-06-09,4.92,6,2
2011-07-20,4.64,7,2
2011-08-02,4.3,8,2
2011-09-01,4.18,9,3
2011-10-17,3.72,10,3
2011-11-09,3.55,11,3
2011-12-01,3.49,12,4
2012-01-03,2.97,1,4
2012-02-23,2.68,2,4
2012-03-01,2.45,3,1
2012-04-26,2.1,4,1
2012-05-24,2.66,5,1
2012-06-27,2.87,6,2
2012-07-31,3.2,7,2
2012-08-01,3.2,8,2
2012-09-28,3.08,9,3
2012-10-31,3.5,10,3
2012-11-27,3.77,11,3
2012-12-06,3.48,12,4
2013-01-22,3.63,1,4
2013-02-27,3.49,2,4
2013-03-25,4.08,3,1
2013-04-19,4.38,4,1
2013-05-01,4.31,5,1
2013-06-03,4.0,6,2
2013-07-19,3.78,7,2
2013-08-29,3.58,8,2
2013-09-17,3.77,9,3
2013-10-16,3.84,10,3
2013-11-26,3.87,11,3
2013-12-23,4.52,12,4
2014-01-27,5.66,1,4
2014-02-10,8.15,2,4
2014-03-04,7.98,3,1
2014-04-25,4.83,4,1
2014-05-07,4.82,5,1
2014-06-16,4.71,6,2
2014-07-01,4.47,7,2
2014-08-28,4.06,8,2
2014-09-30,4.14,9,3
2014-10-01,4.14,10,3
2014-11-19,4.41,11,3
2014-12-01,4.3,12,4
2015-01-15,3.32,1,4
2015-02-23,3.22,2,4
2015-03-04,3.27,3,1
2015-04-09,2.72,4,1
2015-05-20,3.04,5,1
2015-06-16,2.94,6,2
2015-07-15,2.93,7,2
2015-08-12,2.93,8,2
2015-09-08,2.74,9,3
2015-10-15,2.54,10,3
2015-11-06,2.19,11,3
2015-12-29,2.39,12,4
2016-01-11,2.54,1,4
2016-02-01,2.28,2,4
2016-03-31,1.98,3,1
2016-04-13,2.01,4,1
2016-05-31,2.12,5,1
2016-07-29,2.97,7,2
2016-08-01,2.97,8,2
2016-09-21,3.19,9,3
2016-10-18,3.25,10,3
2016-11-30,3.32,11,3
2016-12-07,3.8,12,4
2017-01-02,3.71,1,4
2017-02-01,3.15,2,4
2017-03-31,3.13,3,1
2017-04-06,3.23,4,1
2017-05-16,3.27,5,1
2017-06-12,3.12,6,2
2017-07-20,3.12,7,2
2017-08-14,3.02,8,2
2017-09-19,3.18,9,3
2017-10-13,2.99,10,3
2017-11-09,3.18,11,3
2017-12-29,3.69,12,4
2018-01-02,6.24,1,4
2018-02-01,3.06,2,4
2018-03-29,2.81,3,1
2018-04-16,2.88,4,1
2018-05-31,2.94,5,1
2018-06-21,3.08,6,2
2018-07-05,2.91,7,2
2018-08-20,3.04,8,2
2018-09-25,3.12,9,3
2018-10-10,3.45,10,3
2018-11-21,4.7,11,3
2018-12-05,4.69,12,4
2019-01-16,3.58,1,4
2019-02-27,2.89,2,4
2019-03-04,4.25,3,1
2019-04-02,2.76,4,1
2019-05-21,2.73,5,1
2019-06-03,2.5,6,2
2019-07-11,2.54,7,2
2019-08-01,2.36,8,2
2019-09-16,2.75,9,3
2019-10-31,2.73,10,3
2019-11-08,2.87,11,3
2019-12-04,2.43,12,4
2020-01-07,2.17,1,4
2020-02-18,2.04,2,4
2020-03-11,1.96,3,1
2020-04-21,1.92,4,1
2020-05-05,1.93,5,1
2020-06-03,1.84,6,2
2020-07-09,1.88,7,2
2020-08-24,2.57,8,2
2020-09-01,2.22,9,3
